MaxErrorJacobiFloat;TimeofJacobiFloat;MaxErrorJacobiDouble;TimeofJacobiDouble
5.91079E-7;962;6.12103529903929E-7;1117
5.9521346E-7;18894;5.910371044526297E-7;22031
5.967113E-7;151088;5.842031820940674E-7;170787
5.7991106E-6;716491;5.816853021700652E-6;749664
