MaxErrorJacobiFloat;TimeofJacobiFloat;MaxErrorJacobiDouble;TimeofJacobiDouble
7.311826E-8;1586;5.993544549554031E-11;1272
7.302605E-8;27862;1.909929575605318E-10;33407
2.2738715E-7;170516;2.0255606136831972E-7;158501
5.7991106E-6;708779;5.816853021700652E-6;749401
