MaxErrorGaussFloat;TimeofGaussFloat;MaxErrorGaussDouble;TimeofGaussDouble
6.812249E8;1024;0.055802689657255655;579
5.292383E24;40310;2.64698438086532E19;41628
NaN;191220;3.628609491137596E48;303634
NaN;2284111;1.9180596072269604E77;4064558
