MaxErrorJacobiFloat;TimeofJacobiFloat;MaxErrorJacobiDouble;TimeofJacobiDouble
7.311826E-8;1246;5.828670879282072E-15;1681
7.302605E-8;21599;1.909929575605318E-10;27686
2.2738715E-7;155224;2.0255606136831972E-7;176616
5.7991106E-6;681259;5.816853021700652E-6;741791
